Symbol,Name
PEL,Piramal Enterprises 
PENIND,Pennar Industries 
PENINLAND,Peninsula Land 
PERSISTENT,Persistent Systems 
PETRONET,Petronet Lng 
PFC,Power Fin Corp 
PFIZER,Pfizer 
PFRL,Pantaloon Fash & Ret 
PFS,Ptc India Fin Serv 
PGEL,Pg Electroplast 
PGHH,P&G Hygiene & Health Care
PGHL,Procter & Gamble Health L
PGIL,Pearl Global Ind 
PHILIPCARB,Philips Carbon Black 
PHOENIX,The Phoenix Mills 
PIDILITIND,Pidilite Industries 
PIIND,Pi Industries 
PILITA,Pil Italica Lifestyle 
PIONDIST,Pioneer Dist 
PITTIENG,Pitti Engineering 
PLASTIBLEN,Plastiblends India 
PNB,Punjab National Bank
PNBGILTS,Pnb Gilts 
PNBHOUSING,Pnb Housing Fin 
PNCINFRA,Pnc Infratech 
POKARNA,Pokarna 
POLYCAB,Polycab India 
POLYMED,Poly Medicure 
POLYPLEX,Polyplex Corporation 
POWERGRID,Power Grid Corp
POWERINDIA,Abb Power Pro N Sys Ind L
POWERMECH,Power Mech Projects 
PPAP,Ppap Automotive 
PPL,Prakash Pipes 
PRABHAT,Prabhat Dairy 
PRAJIND,Praj Industries 
PRAKASH,Prakash Industries 
PRAKASH,Prakash Industries 
PRESTIGE,Prestige Estate 
PRICOL,Pricol 
PRICOL,Pricol 
PRINCEPIPE,Prince Pipes Fittings 
PROZONINTU,Prozone Intu Proprtis 
PRSMJOHNSN,Prism Johnson 
PSB,Punjab & Sind Bank
PSPPROJECT,Psp Projects 
PSUBNKBEES,Nipp In Etf Psu Bank Bees
PTC,Ptc India 
PUNJLLOYD,Punj Lloyd 
PURVA,Puravankara 
PVR,Pvr 
QGOLDHALF,Quantum Gold Fund
QUESS,Quess Corp 
QUICKHEAL,Quick Heal Tech 
RADICO,Radico Khaitan 
RADIOCITY,Music Broadcast 
RAIN,Rain Industries 
RAINCOM,Rain Comm 
RAJESHEXPO,Rajesh Exports 
RALLIS,Rallis India 
RAMCOCEM,The Ramco Cements 
RAMCOIND,Ramco Industries 
RAMCOSYS,Ramco Systems 
RAMKY,Ramky Infra 
RANEHOLDIN,Rane Holdings 
RATNAMANI,Ratnamani Met & Tub 
RAYMOND,Raymond 
RBL,Rane Brake Lining 
RBLBANK,Rbl Bank 
RCF,Rashtriya Chemicals & Fer
RCOM,Reliance Communications L
RCOM,Reliance Communications L
REC,Rec 
REDINGTON,Redington  
REFEX,Refex Industries 
RELAXO,Relaxo Foot 
RELCAPITAL,Rel Capital - DepoSett.
RELCAPITAL,Reliance Capital 
RELCONS,Nippo Ind Etf Consumption
RELDIVOPP,Nip Etf Div Opportunities
RELIANCE,Reliance Industries 
RELIANCEPP,Reliance Rs.2.50 Ppd Up
RELIGARE,Religare Enter
RELINFRA,Reliance Infrastructu 
REMSONSIND,Remsons Industries 
RENUKA,Shree Renuka Sugars 
REPCOHOME,Repco Home Finance 
REPRO,Repro India 
RHFL,Reliance Home Finance 
RICOAUTO,Rico Auto Industries 
RIIL,Reliance Industrial Infra
RITES,Rites 
RKFORGE,Ramkrishna Forgings 
RML,Rane (Madras) 
RNAM,Nippon L I A M 
RNAVAL,Reliance Naval & Engg 
RNAVAL,Reliance Naval & Engg 
ROH,Royal Orchid Hotels 
ROH,Royal Orchid Hotels 
ROLTA,Rolta India 
ROSSARI,Rossari Biotech 
RPGLIFE,Rpg Life Sciences 
RPOWER,Reliance Power 
RPPINFRA,R.P.P Infra Projects 
RSSOFTWARE,RSSoftware  Li
RSWM,Rswm 
RSYSTEMS,R Sys International 
RTNPOWER,Rattanindia Power 
RUBYMILLS,The Ruby Mills 
RUCHI,Ruchi Soya Industries 
RUCHIRA,Ruchira Papers 
RUPA,Rupa & Company 
RUSHIL,Rushil Decor 
RVNL,Rail Vikas Nigam 
SADBHAV,Sadbhav Engineering 
SADBHIN,Sadbhav Infra Proj 
SAFARI,Safari Ind  
SAGCEM,Sagar Cements 
SAIL,Steel Authority Of India
SAKSOFT,Saksoft 
SALASAR,Salasar Techno Engg
SALZERELEC,Salzer Electronics 
SANDESH,Sandesh 
SANGHIIND,Sanghi Industries 
SANOFI,Sanofi India 
SARDAEN,Sarda Energy & Min 
SAREGAMA,Saregama India 
SARLAPOLY,Sarla PerfFibers 
SASKEN,Sasken Technologies 
SATIN,Satin Credit Net 
SBICARD,Sbi Cards & Pay Ser 
SBILIFE,Sbi Life Insurance Co 
SBIN,State Bank Of India
SCHAEFFLER,Schaeffler India 
SCHAND,S Chand And Company 
SCHNEIDER,Schneider Electric Infra
SCI,Shipping Corp Of India
SDBL,Som Dist & Brew 
SEAMEC,Seamec 
SELAN,Selan ExploTech 
SEQUENT,Sequent Scientific 
SESHAPAPER,Seshasayee Paper & Boards
SETCO,Setco Automotive 
SETFGOLD,Sbi-Etf Gold
SETFNIF50,Sbi-Etf Nifty 50
SETFNIFBK,Sbi-Etf Nifty Bank
SEYAIND,Seya Industries 
SFL,Sheela Foam 
SGBAPR28I,2.50%Goldbonds2028sr-I
SGBAUG24,2.75% Goldbonds2024tr-Iv
SGBMAR24,2.75%Goldbonds2024 Tr-Iii
SHAKTIPUMP,Shakti Pumps  
SHALBY,Shalby 
SHALPAINTS,Shalim Paints 
SHANKARA,Shankara Bldg Product 
SHANTIGEAR,Shanthi Gears 
SHARDACROP,Sharda Cropchem 
SHARDAMOTR,Sharda Motor Inds 
SHEMAROO,Shemaroo Enter
SHILPAMED,Shilpa Medicare 
SHIVAMAUTO,Shivam Auto.
SHK,S H Kelkar And Co
SHOPERSTOP,Shoppers Stop 
SHREDIGCEM,Shree Digvijay Cem Co 
SHREECEM,Shree Cement 
SHREEPUSHK,Shre Push Chem & Fert 
SHREYANIND,Shreyans Industries 
SHRIRAMCIT,Shriram Cityuni Fin.
SHRIRAMEPC,Shriram Epc 
SIEMENS,Siemens 
SIMPLEXINF,Simplex Infrastructures L
SINTEX,Sintex Industries 
SIS,Security Intell Services
SIYSIL,Siyaram Silk Mills 
SJVN,Sjvn 
SKFINDIA,Skf India 
SKIPPER,Skipper 
SKMEGGPROD,Skm Egg Prod Export
SMARTLINK,Smartlink Holdings 
SMLISUZU,Sml Isuzu 
SMSPHARMA,Sms Pharmaceuticals 
SNOWMAN,Snowman Logistics 
SOBHA,Sobha 
SOLARA,Solara Active Pha Sci 
SOLARINDS,Solar Industries  
SOMANYCERA,Somany Ceramics 
SONATSOFTW,Sonata Software 
SOUTHBANK,The South Indian Bank 
SPAL,SPApparels 
SPANDANA,Spandana Sphoorty Fin 
SPARC,Sun Pharma Adv.Res.Co.
SPECIALITY,Speciality Rest 
SPENCERS,Spencer'S Retail 
SPIC,Spic 
SPICEJET,Spicejet 
SPTL,Sintex Plastics Tech 
SPTL,Sintex Plastics Tech 
SREEL,Sreeleathers 
SREINFRA,Srei Infrastructure Finan
SRF,Srf 
SRIPIPES,Srikalahasthi Pipes 
SRTRANSFIN,Shriram Transport Fin Co.
SSWL,Steel Strips Wheels 
STAR,Strides Pharma Sci 
STARCEMENT,Star Cement 
STARPAPER,Star Paper Mills 
STCINDIA,The State Trading Corpn
STERTOOLS,Sterling Tools 
STRTECH,Sterlite Technologies 
SUBEX,Subex 
SUBEX,Subex 
SUBROS,Subros 
SUDARSCHEM,Sudarshan Chemical Inds L
SUMICHEM,Sumitomo Chem India 
SUNCLAY,Sundaram Clayton 
SUNDARMFIN,Sundaram Finance 
SUNDARMHLD,Sundaram Finance Hold 
SUNDRMFAST,Sundram Fasteners 
SUNFLAG,Sunflag Iron And Steel Co
SUNILHITEC,Sunil Hitech Engr
SUNPHARMA,Sun Pharmaceutical Ind L
SUNTECK,Sunteck Realty 
SUNTV,Sun Tv Network 
SUPPETRO,Supreme Petrochemicals
SUPRAJIT,Suprajit Engineering 
SUPREMEIND,Supreme Industries 
SURYAROSNI,Surya Roshni 
SUTLEJTEX,Sutlej Text & Indus 
SUVEN,Suven Life Sciences 
SUVEN,Suven Life Sciences 
SUVENPHAR,Suven Pharmaceuticals 
SUZLON,Suzlon Energy 
SWANENERGY,Swan Energy 
SWARAJENG,Swaraj Engines 
SWSOLAR,Sterling & Wilson So 
SYMPHONY,Symphony 
SYNGENE,Syngene International 
TAJGVK,Taj Gvk Hotels & Resorts
TAKE,Take Solutions 
TALBROAUTO,Talbros AutoComp
TALWALKARS,Talwalkar Fitness 
TANLA,Tanla Solutions 
TASTYBITE,Tasty Bite Eatables 
TATACHEM,Tata Chemicals 
TATACOFFEE,Tata Coffee 
TATACOMM,Tata Communications 
TATACONSUM,Tata Consumer Product 
TATAELXSI,Tata Elxsi 
TATAGLOBAL,Tata Global Beverages 
TATAINVEST,Tata Investment Corp 
TATAMETALI,Tata Metaliks 
TATAMOTORS,Tata Motors 
TATAMTRDVR,Tata Motors Dvr 'A' Ord
TATAPOWER,Tata Power Co 
TATASPONGE,Tata Steel Long Pro 
TATASTEEL,Tata Steel 
TATASTLBSL,Tata Steel Bsl 
TATASTLLP,Tata Steel Long Pro 
TBZ,Trib Bhimji Zaveri 
TCI,Transport Corpn Of India
TCIEXP,Tci Express 
TCNSBRANDS,Tcns Clothing Co
TCS,Tata Consultancy Serv
TDPOWERSYS,Td Power Systems 
TEAMLEASE,Teamlease Services 
TECHM,Tech Mahindra 
TECHNOE,Techno Elec & Eng Co
TEJASNET,Tejas Networks 
TEJASNET,Tejas Networks 
TEXINFRA,Texmaco Infra & Holdg 
TEXRAIL,Texmaco Rail & Eng
TFCI,Tourism Finance CorpOf
THANGAMAYL,Thangamayil Jewellery 
THEMISMED,Themis Medicare 
THERMAX,Thermax 
THOMASCOOK,Thomas Cook  
THYROCARE,Thyrocare Tech 
TI,Tilaknagar Industries 
TIDEWATER,Tide Water Oil 
TIIL,Technocraft Ind 
TIINDIA,Tube Invest Of India 
TIL,Til 
TIMETECHNO,Time Technoplast 
TIMKEN,Timken India 
TINPLATE,The Tinplate Co 
TIRUMALCHM,Thirumalai Chemicals 
TITAN,Titan Company 
TNPETRO,Tamilnadu Petroproducts L
TNPL,Tamilnadu Newsprt & Paper
TORNTPHARM,Torrent Pharmaceuticals L
TORNTPOWER,Torrent Power 
TRENT,Trent 
TRF,Trf 
TRF,Trf 
TRIDENT,Trident 
TRIGYN,Trigyn Technologies 
TRIL,Trans & Recti
TRITURBINE,Triveni Turbine 
TRIVENI,Triveni Engg& Inds
TTKHLTCARE,Ttk Healthcare 
TTKPRESTIG,Ttk Prestige 
TTML,Tata Teleserv(Maharastra)
TV18BRDCST,Tv18 Broadcast 
TVSELECT,Tvs Electronics 
TVSMOTOR,Tvs Motor Company  
TVSSRICHAK,Tvs Srichakra 
TVTODAY,Tv Today Network 
TWL,Titagarh Wagons 
UBL,United Breweries 
UCALFUEL,Ucal Fuel Systems 
UCOBANK,Uco Bank
UFLEX,Uflex 
UFO,Ufo Moviez India 
UGARSUGAR,The Ugar Sugar Works 
UJAAS,Ujaas Energy 
UJJIVAN,Ujjivan FinServc
UJJIVANSFB,Ujjivan Small Financ Bank
ULTRACEMCO,Ultratech Cement 
UMANGDAIRY,Umang Dairies 
UNICHEMLAB,Unichem Laboratories 
UNIONBANK,Union Bank Of India
UNIPLY,Uniply Industries 
UNITECH,Unitech 
UNITECH,Unitech 
UNITY,Unity Infraprojects 
UNIVCABLES,Universal Cables 
UPL,Upl 
USHAMART,Usha Martin 
UTTAMSTL,Uttam Galva Steels 
UTTAMSUGAR,Uttam Sugar Mills 
V2RETAIL,V2 Retail 
VADILALIND,Vadilal Industries 
VAIBHAVGBL,Vaibhav Global 
VAKRANGEE,Vakrangee 
VAKRANSOFT,Vakrangee Soft 
VARDHACRLC,Vardhaman Acrylics 
VARROC,Varroc Engineering 
VASCONEQ,Vascon Engineers 
VBL,Varun Beverages 
VEDL,Vedanta 
VENKEYS,Venky'S  
VESUVIUS,Vesuvius India 
VGUARD,V-Guard Ind 
VHL,Vardhman Holdings 
VIDEOIND,Videocon Industries Limit
VIDHIING,Vidhi Spclty F Ingrdnts L
VIKASECO,Vikas Ecotech 
VIKASMCORP,Vikas Multicorp 
VIKASPROP,Vikas Prop & Granite 
VIMTALABS,Vimta Labs 
VIMTALABS,Vimta Labs 
VINATIORGA,Vinati Organics 
VINDHYATEL,Vindhya Telelinks 
VINYLINDIA,Vinyl Chemicals  
VIPCLOTHNG,Vip Clothing 
VIPIND,Vip Industries 
VISAKAIND,Visaka Industries 
VIVIMEDLAB,Vivimed Labs 
VLSFINANCE,Vls Finance 
VMART,Vmart Retail 
VOLTAMP,Voltamp Transformers 
VOLTAS,Voltas 
VRLLOG,Vrl Logistics 
VSTIND,Vst Industries 
VSTTILLERS,Vst Tillers Tractors 
VTL,Vardhman Textiles 
WABAG,Va Tech Wabag 
WABCOINDIA,Wabco India 
WALCHANNAG,Walchandnagar Industries
WALCHANNAG,Walchandnagar Industries
WATERBASE,Waterbase 
WELCORP,Welspun Corp 
WELENT,Welspun Enterprises 
WELPROJ,Welspun Projects 
WELSPUNIND,Welspun India 
WENDT,Wendt  
WESTLIFE,Westlife Development 
WHEELS,Wheels India 
WHIRLPOOL,Whirlpool Of India 
WIPRO,Wipro 
WOCKPHARMA,Wockhardt 
WONDERLA,Wonderla Holidays 
WSTCSTPAPR,West Coast Paper Mills
XCHANGING,Xchanging Solutions 
YESBANK,Yes Bank 
ZEEL,Zee Entertainment Ent 
ZEELEARN,Zee Learn 
ZEEMEDIA,Zee Media Corporation 
ZEEMEDIA,Zee Media Corporation 
ZENSARTECH,Zensar Technologies  
ZENTEC,Zen Technologies 
ZUARI,Zuari Agro Chemicals 
ZUARIGLOB,Zuari Global 
ZYDUSWELL,Zydus Wellness 
